Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Kharif     ,Himachal Pradesh,2338,53068,1357.1,334427.52,210.42,15.18142857
Whole Year ,Madhya Pradesh,53704,2381030,895,7681820.16,4833.36,31.97541667
Whole Year ,Maharashtra,768400,60648300,1052.8,109911936,69156,65.53407407
Whole Year ,Manipur,5150,298000,1134.8,736656,463.5,59.26444444
Kharif     ,Nagaland,4320,185760,1540.9,617932.8,388.8,43.01454545
Whole Year ,Tripura,972,51695,1827.8,139034.88,87.48,54.9975
Kharif     ,Uttar Pradesh,2084179,109047670,891.6,298120964.2,187576.11,47.59257143
Whole Year ,Uttarakhand,107907,5683369,1363.7,15435017.28,9711.63,54.82
Whole Year ,Jharkhand,729.31,18446,1295.2,104320.5024,65.6379,27.25142857
Whole Year ,Bihar,72916,3443693,889.3,11361771.12,12395.72,44.66484848
Whole Year ,Chhattisgarh,6788,35356,956.9,1057706.16,1153.96,3.389375
Whole Year ,Gujarat,190300,13304000,618,29652546,32351,66.79470588
Whole Year ,Haryana,79171,4078900,393,12336425.22,13459.07,47.4235
Whole Year ,Himachal Pradesh,2124,44306,969.9,330961.68,361.08,16.11857143
Whole Year ,Maharashtra,755900,64159300,1002.4,117784338,128503,76.29222222
Whole Year ,Manipur,3870,227130,992.5,603023.4,657.9,56.62666667
Kharif     ,Nagaland,5090,152880,1225.9,793123.8,865.3,30.02272727
Whole Year ,Punjab,60000,370000,371.3,9349200,10200,6.396923077
Whole Year ,Tripura,879,44913,2004.2,136965.78,149.43,51.4225
Kharif     ,Uttar Pradesh,1977324,117139919,585.8,308106625.7,336145.08,50.34633803
Whole Year ,Uttarakhand,99988,6088488,847.8,15580130.16,16997.96,61.34
Whole Year ,Jharkhand,894,38926,996.1,139303.08,151.98,41.7825
Whole Year ,West Bengal,13750,1000808,1317.2,2142525,2337.5,78.33428571
Whole Year ,Madhya Pradesh,45549,1847170,904.1,7097445.18,7743.33,31.6544898
Whole Year ,Bihar,250672,11827664,629.2,41639125.92,60161.28,53.23921053
Whole Year ,Chhattisgarh,7540,18456,1283.1,1252469.4,1809.6,2.692777778
Whole Year ,Gujarat,190100,13763000,1107.5,31577511,45624,69.7375
Whole Year ,Haryana,84517,604000,639.2,14039118.87,20284.08,5.022
Whole Year ,Himachal Pradesh,1628,37107,1319.8,270427.08,390.72,17.22
Whole Year ,Madhya Pradesh,48190,1960980,856.3,8004840.9,11565.6,31.9975
Whole Year ,Maharashtra,964500,85691500,1389,160213095,231480,73.83961538
Whole Year ,Manipur,5200,301310,2160.5,863772,1248,59.03444444
Whole Year ,Mizoram,1418,7900,2738.7,235543.98,340.32,5.5975
Kharif     ,Nagaland,4250,184920,1771.8,705967.5,1020,43.52909091
Whole Year ,Tamil Nadu,315961,34251796,1095.2,52484281.71,75830.64,107.4126667
Whole Year ,Tripura,909,46481,2348.3,150993.99,218.16,51.1425
Kharif     ,Uttar Pradesh,2124850,120544784,742.6,352958833.5,509964,52.28
Whole Year ,Uttarakhand,102402,6235474,1419,17009996.22,24576.48,61.34
Kharif     ,Jammu and Kashmir,18,27,1352,2989.98,4.32,1.5
Whole Year ,West Bengal,15017,1134059,1096,2494473.87,3604.08,75.264
Whole Year ,Chhattisgarh,8163,45441,1302.7,1367465.76,2693.79,7.9008
Whole Year ,Gujarat,201900,12748000,890.5,33822288,66627,58.77166667
Whole Year ,Haryana,94892,695000,471.5409091,15896307.84,31314.36,5.534761905
Whole Year ,Himachal Pradesh,1967,27771,1108.3,329511.84,649.11,10.67857143
