Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rabi       ,Odisha,6976,10565,1672.5,712458.88,1813.76,1.1288
Rabi       ,Punjab,3420000,15499000,479.3,349284600,889200,4.487058824
Rabi       ,Uttar Pradesh,9255937,25498002,849.9,945308845.8,2406543.62,2.729565217
Rabi       ,Uttarakhand,375967,721618,1541.3,38397509.71,97751.42,1.616153846
Rabi       ,Bihar,2130933,4040610,1105.8,201735427.1,532733.25,1.844054054
Rabi       ,Chhattisgarh,93846,98592,1001.4,8884400.82,23461.5,1.185
Rabi       ,Gujarat,435600,856600,458.4,41238252,108900,2.185789474
Rabi       ,Haryana,2267140,9188000,353.9,214630143.8,566785,3.947894737
Rabi       ,Himachal Pradesh,359439,495558,890.8,34028090.13,89859.75,1.389166667
Rabi       ,Karnataka,246855,147748,860.8,23369762.85,61713.75,0.572142857
Rabi       ,Madhya Pradesh,3369481,4916044,800.8,318988766.3,842370.25,1.500666667
Rabi       ,Maharashtra,759800,983900,967.4,71930266,189950,1.234333333
Rabi       ,Meghalaya,2714,4745,4355.3,256934.38,678.5,1.455
Rabi       ,Nagaland,7650,15820,1536.6,724225.5,1912.5,2.0775
Rabi       ,Odisha,4627,5767,1102.8,438038.09,1156.75,1.133636364
Rabi       ,Punjab,3375000,14175000,301.8,319511250,843750,4.13
Rabi       ,Uttarakhand,374802,721653,1610.3,35482505.34,93700.5,1.650769231
Rabi       ,Jharkhand,57203.69,78365,1041.2,5415473.332,14300.9225,1.42125
Rabi       ,Bihar,2076839,3688941,1353.9,205565524.2,498441.36,1.747105263
Rabi       ,Chhattisgarh,106109,113138,1643.7,10502668.82,25466.16,1.20875
Rabi       ,Delhi,18973,82893,962.3,1877947.54,4553.52,4.37
Rabi       ,Gujarat,759500,2036500,902.5,75175310,182280,2.68875
Rabi       ,Haryana,2315496,9114000,592.3,229187794.1,555719.04,3.825789474
Rabi       ,Jharkhand,60269.7,80183,1258.3,5965494.906,14464.728,1.360909091
Rabi       ,Madhya Pradesh,4078974,7357255,1163,403736846.5,978953.76,1.797916667
Rabi       ,Maharashtra,664700,778200,1037.4,65792006,159528,1.171666667
Rabi       ,Nagaland,10000,19500,1709.8,989800,2400,1.86625
Rabi       ,Odisha,5129,7517,1648.2,507668.42,1230.96,1.377407407
Rabi       ,Punjab,3444000,14489000,451.7,340887120,826560,4.166470588
Rabi       ,Uttar Pradesh,9443104,26349910,1075.6,934678433.9,2266344.96,2.767428571
Rabi       ,Uttarakhand,383387,729653,1734.3,37947645.26,92012.88,1.525384615
Rabi       ,Andhra Pradesh,9174,4605,781.8,993911.16,1926.54,0.387272727
Rabi       ,Assam,63854,68083,2536.9,6917942.36,13409.34,1.056956522
Rabi       ,Bihar,2027643,3263385,1147.8,219674842.6,425805.03,1.569473684
Rabi       ,Chhattisgarh,99245,85215,1122.8,10752203.3,20841.45,0.963125
Rabi       ,Delhi,18695,80800,651.9,2025416.3,3925.95,4.32
Rabi       ,Gujarat,727400,1805500,719.8,78806516,152754,2.6312
Rabi       ,Haryana,2316674,9043000,484.6,250988461.2,486501.54,3.774736842
Rabi       ,Madhya Pradesh,4188248,7320042,895.7,453754788.3,879532.08,1.7075
Rabi       ,Maharashtra,755700,1016300,1052,81872538,158697,1.199666667
Rabi       ,Nagaland,8200,13000,1711.5,888388,1722,1.49125
Rabi       ,Punjab,3482000,14698000,366.4,377239880,731220,4.178823529
Rabi       ,Tripura,944,1942,2706.3,102272.96,198.24,2.0525
Rabi       ,Uttarakhand,387103,799221,1219.6,41938739.02,81291.63,1.776923077
Rabi       ,Jharkhand,57905.58,72740,1149.2,6273490.537,12160.1718,1.257727273
Rabi       ,West Bengal,400093,841471,1612.9,43346075.62,84019.53,2.104444444
Rabi       ,Bihar,2001771,2821120,907.8,240052378.3,420371.91,1.349736842
Rabi       ,Chhattisgarh,97074,85191,1292.7,11641114.08,20385.54,1.0125
Rabi       ,Delhi,18279,79404,653.1,2192017.68,3838.59,4.34
Rabi       ,Gujarat,858800,2319200,942.4,102987296,180348,2.5792
Rabi       ,Haryana,2302682,8502000,516.9,276137625.4,483563.22,3.6065
Rabi       ,Himachal Pradesh,358453,365885,1248.1,42985683.76,75275.13,1.075833333
Rabi       ,Madhya Pradesh,3772615,6192368,1032.7,452411990.8,792249.15,1.647083333
Rabi       ,Maharashtra,932800,1300700,1387.2,111861376,195888,1.329333333
Rabi       ,Nagaland,1200,1920,1568.6,143904,252,1.66125
Rabi       ,Punjab,3468000,14493000,566.7,415882560,728280,4.145294118
Rabi       ,Tripura,1750,3184,1765.9,209860,367.5,1.8325
Rabi       ,Uttarakhand,379237,642216,1353.3,45478101.04,79639.77,1.353076923
Rabi       ,Jharkhand,50326.23,51263,965.2,6035121.502,10568.5083,1.023636364
Rabi       ,Bihar,2076727,4155541,1052.8,265218805.2,456879.94,1.924324324
Rabi       ,Chhattisgarh,93213,93952,1317.2,11904232.23,20506.86,1.06
Rabi       ,Delhi,17884,77885,462.7,2283965.64,3934.48,4.36
Rabi       ,Gujarat,1072300,2791500,1056.2,136943433,235906,2.5696
Rabi       ,Haryana,2377067,10059000,329.3,303575226.6,522954.74,4.062
Rabi       ,Himachal Pradesh,362245,596493,1207,46262308.95,79693.9,1.6375
Rabi       ,Madhya Pradesh,4262382,7840446,1072.3,544348805.2,937724.04,1.73125
Rabi       ,Maharashtra,1230800,1871000,1439.4,157185468,270776,1.451666667
Rabi       ,Nagaland,1500,1250,1362.5,191565,330,0.86
Rabi       ,Punjab,3467000,14596000,569.6,442770570,762740,4.148421053
Rabi       ,Tripura,970,1845,1764.3,123878.7,213.4,1.885
Rabi       ,Uttar Pradesh,9197642,25443428,590.5,1174630860,2023481.24,2.725428571
Rabi       ,Uttarakhand,377870,796548,1178.9,48257777.7,83131.4,1.760769231
Rabi       ,Jharkhand,124418.04,163905,1465.1,15889427.89,27371.9688,1.280454545
Rabi       ,Andhra Pradesh,8000,8000,1004.2,1067200,1280,1
Rabi       ,Bihar,2131232,4977463,1600.2,284306348.8,340997.12,2.228421053
Rabi       ,Chhattisgarh,95020,104548,1246.2,12675668,15203.2,1.299444444
Rabi       ,Gujarat,1273900,3837700,1021.6,169938260,203824,2.9304
Rabi       ,Haryana,2460680,10232000,443.8,328254712,393708.8,4.036
Rabi       ,Himachal Pradesh,366592,504360,1095.4,48903372.8,58654.72,1.500833333
Rabi       ,Madhya Pradesh,4089343,6729363,740.4,545518356.2,654294.88,1.548958333
Rabi       ,Maharashtra,1252800,2371100,1257.2,167123520,200448,1.782333333
Rabi       ,Meghalaya,622,1120,4702,82974.8,99.52,1.2425
Rabi       ,Nagaland,1150,1800,1769,153410,184,1.56375
Rabi       ,Punjab,3488000,15720000,527.2,465299200,558080,4.4775
Rabi       ,Tripura,1023,1889,2831.8,136468.2,163.68,1.88
Rabi       ,Uttar Pradesh,9114880,25679089,672.9,1215924992,1458380.8,2.723571429
Rabi       ,Uttarakhand,372919,798233,1924.3,49747394.6,59667.04,1.673846154
Rabi       ,Jharkhand,54845.72,68534,1444.7,7316419.048,8775.3152,1.432727273
Rabi       ,Bihar,2158345,4413017,1197.7,308729668.8,194251.05,1.984473684
Rabi       ,Chhattisgarh,94834,97424,1117.9,13565055.36,8535.06,1.15
Rabi       ,Gujarat,1091400,2592600,746.1,156113856,98226,2.349615385
Rabi       ,Haryana,2461420,11360000,715.6,352081516.8,221527.8,4.437142857
Rabi       ,Himachal Pradesh,359961,381180,1357.1,51488821.44,32396.49,1.080833333
Rabi       ,Madhya Pradesh,3997666,7272210,895,571826144.6,359789.94,1.764
Rabi       ,Maharashtra,1021800,1516400,1052.8,146158272,91962,1.431666667
Rabi       ,Manipur,2050,5120,1134.8,293232,184.5,2.495
Rabi       ,Nagaland,1380,2070,1540.9,197395.2,124.2,1.502222222
Rabi       ,Punjab,3466000,15733000,691.3,495776640,311940,4.5035
Rabi       ,Tripura,635,1195,1827.8,90830.4,57.15,1.905
Rabi       ,Uttar Pradesh,9513039,28554178,891.6,1360745099,856173.51,2.959857143
Rabi       ,Uttarakhand,379081,770934,1363.7,54223746.24,34117.29,1.491538462
Rabi       ,Jammu and Kashmir,274022,492140,1390.1,39196106.88,24661.98,1.435714286
Rabi       ,Jharkhand,58602.34,79871,1295.2,8382478.714,5274.2106,1.43625
Rabi       ,Bihar,2116098,4403841,889.3,329730390.4,359736.66,2.076315789
Rabi       ,Chhattisgarh,109163,118923,956.9,17009778.66,18557.71,1.301764706
Rabi       ,Gujarat,878000,2351300,618,136809960,149260,2.617692308
Rabi       ,Haryana,2487756,10488000,393,387642139.9,422918.52,4.133809524
Rabi       ,Himachal Pradesh,350440,324174,969.9,54605560.8,59574.8,0.933333333
Rabi       ,Maharashtra,1080900,1740200,1002.4,168425838,183753,1.53
Rabi       ,Manipur,12000,25050,992.5,1869840,2040,2.073333333
Rabi       ,Nagaland,2010,2410,1225.9,313198.2,341.7,1.198888889
Rabi       ,Punjab,3522000,15169000,371.3,548798040,598740,4.3205
Rabi       ,Tripura,667,1323,2004.2,103931.94,113.39,1.9825
Rabi       ,Uttar Pradesh,9668152,27518022,585.8,1506491445,1643585.84,2.80915493
Rabi       ,Uttarakhand,372846,829319,847.8,58096863.72,63383.82,1.674615385
Rabi       ,Jharkhand,52510,61618,996.1,8182108.2,8926.7,1.314166667
Rabi       ,West Bengal,315888,846657,1317.2,49221668.16,53700.96,2.401764706
Whole Year ,Madhya Pradesh,4458995,8865378,904.1,694800600.9,758029.15,1.8538
Rabi       ,Bihar,2100181,5094030,629.2,348861065.9,504043.44,2.282631579
Rabi       ,Chhattisgarh,103701,121745,1283.1,17225773.11,24888.24,1.395882353
Rabi       ,Gujarat,1588600,5013400,1107.5,263882346,381264,3.0388
Rabi       ,Haryana,2503963,11578000,639.2,415933293.9,600951.12,4.483333333
Rabi       ,Himachal Pradesh,346936,534707,1319.8,57629538.96,83264.64,1.539166667
Rabi       ,Madhya Pradesh,4633125,9219781,856.3,769608393.7,1111950,1.8744
Rabi       ,Maharashtra,1306600,2300800,1389,217039326,313584,1.709333333
Rabi       ,Manipur,2100,5250,2160.5,348831,504,2.475
Rabi       ,Nagaland,3120,5340,1771.8,518263.2,748.8,1.712222222
Rabi       ,Punjab,3510000,16472000,392.7,583046100,842400,4.6485
Rabi       ,Tripura,316,637,2348.3,52490.76,75.84,2.02
Rabi       ,Uttar Pradesh,9636540,30000632,742.6,1600725659,2312769.6,3.077222222
Rabi       ,Uttarakhand,371225,882920,1419,61664184.75,89094,1.863846154
Rabi       ,Jammu and Kashmir,286777,442706,1352,47636527.47,68826.48,1.468
Rabi       ,Jharkhand,49596,54110,694.6,8238391.56,11903.04,1.091666667
Rabi       ,West Bengal,316808,874415,1096,52624976.88,76033.92,2.496666667
Rabi       ,Bihar,2141892,6530955,1097.1,358809747.8,706824.36,3.028684211
Rabi       ,Chhattisgarh,104825,135121,1302.7,17560284,34592.25,1.512
Rabi       ,Gujarat,1350600,4072100,890.5,226252512,445698,3.01
Rabi       ,Haryana,2531302,13119000,471.5409091,424043711,835329.66,5.031904762
Rabi       ,Himachal Pradesh,345182,506782,1108.3,57824888.64,113910.06,1.423333333
Rabi       ,Madhya Pradesh,5248479,14537038,852.6,879225202.1,1731998.07,2.5908
Rabi       ,Maharashtra,878100,1498800,1174.095455,147099312,289773,1.646666667
Rabi       ,Manipur,2150,5370,1533.561905,360168,709.5,2.473333333
Rabi       ,Nagaland,3150,5390,1544.354545,527688,1039.5,1.711111111
Rabi       ,Punjab,3528000,17982000,705.2,591010560,1164240,5.0675
Rabi       ,Tripura,274,536,2295.609091,45900.48,90.42,1.9375
Rabi       ,Uttar Pradesh,9731150,31892480,777.4,1630162248,3211279.5,3.253333333
Rabi       ,Uttarakhand,355549,864836,1564.7,59561568.48,117331.17,1.873076923
Rabi       ,Jharkhand,47933,73657,1374.7,8029736.16,15817.89,1.486666667
Rabi       ,West Bengal,315659,872895,1686.5,52879195.68,104167.47,2.49
Rabi       ,Bihar,2207704,6174260,924.1,332921763.2,684388.24,2.749210526
Rabi       ,Chhattisgarh,102230,143226,1366.8,15416284,31691.3,1.6104
Rabi       ,Gujarat,1023500,2944000,460.6,154343800,317285,2.9216
Rabi       ,Haryana,2496905,11117000,307.9,376533274,774040.55,4.409047619
Rabi       ,Himachal Pradesh,350121,656543,1035,52798246.8,108537.51,1.894166667
Rabi       ,Madhya Pradesh,5601025,16510524,1049.5,844634570,1736317.75,2.8566
Rabi       ,Maharashtra,785000,1198700,1003.4,118378000,243350,1.461034483
Rabi       ,Manipur,2400,6000,1176.7,361920,744,2.5
Rabi       ,Nagaland,3270,5890,1296.6,493116,1013.7,1.797777778
Rabi       ,Punjab,3517000,16614000,338.9,530363600,1090270,4.677272727
Rabi       ,Tripura,334,827,1882.2,50367.2,103.54,2.43625
Rabi       ,Uttar Pradesh,9733617,31332434,746.3,1467829444,3017421.27,3.2492
